Order_ID,Restaurant_ID,Order_Date,Expected_Delivery_Time,Actual_Delivery_Time,Total_Amount,Order_Status,Payment_Method,Dish_Name,Customer_ID
O0020,R079,2023-05-31 12:00:00,44,50,770.18,Cancelled,Cash,Dal Makhani,C011
O0021,R070,2023-07-12 20:00:00,39,46,891.76,Cancelled,Cash,Tandoori Chicken,C198
O0022,R026,2023-01-19 06:00:00,38,33,646.74,Cancelled,UPI,Egg Fried Rice,C168
O0023,R092,2023-05-09 00:00:00,30,51,802.24,Cancelled,UPI,Masala Dosa,C157
O0024,R038,2023-10-01 20:00:00,44,32,737.29,Cancelled,Credit Card,Chicken Wings,C084
O0025,R100,2023-01-30 14:00:00,38,30,607.2,Cancelled,UPI,Chicken Biryani,C049
O0026,R057,2023-08-08 20:00:00,29,40,537.46,Cancelled,Net Banking,Paneer Tikka,C094
O0027,R066,2023-07-20 18:00:00,28,28,622.02,Cancelled,Cash,Chicken Shawarma,C030
O0028,R078,2023-05-19 06:00:00,43,37,386.16,Cancelled,UPI,Mutton Rogan Josh,C081
O0029,R060,2023-04-25 04:00:00,28,33,154.41,Cancelled,Net Banking,Paneer Tikka,C033
O0030,R069,2023-03-21 12:00:00,30,26,695.58,Cancelled,Net Banking,Butter Chicken,C082
O0031,R082,2023-06-22 22:00:00,40,41,915.53,Cancelled,Net Banking,Veg Manchurian,C058
O0032,R034,2023-06-05 10:00:00,34,37,449.17,Cancelled,UPI,Fish Curry,C151
O0033,R035,2023-01-14 08:00:00,28,38,521.64,Cancelled,Net Banking,Chole Bhature,C013
O0034,R030,2023-06-13 18:00:00,38,38,746.28,Cancelled,Net Banking,Fish Curry,C176
O0035,R003,2023-07-31 14:00:00,33,45,177.85,Cancelled,Cash,Chole Bhature,C135
O0036,R016,2023-02-04 16:00:00,33,42,361.36,Cancelled,UPI,Masala Dosa,C140
O0037,R079,2023-04-02 16:00:00,28,37,804.87,Cancelled,Credit Card,Paneer Tikka,C126
O0038,R092,2023-06-23 04:00:00,45,27,704.14,Cancelled,Net Banking,Margherita Pizza,C026
O0039,R013,2023-06-17 08:00:00,36,44,189.66,Cancelled,Net Banking,Mutton Rogan Josh,C149
O0040,R023,2023-07-08 00:00:00,41,35,469.11,Cancelled,Cash,Paneer Tikka,C034
O0041,R094,2023-08-09 02:00:00,42,49,657.4,Cancelled,Cash,Chicken Shawarma,C170
O0042,R054,2023-05-15 12:00:00,27,27,249.5,Cancelled,Credit Card,Masala Dosa,C176
O0043,R032,2023-06-11 08:00:00,25,51,949.43,Cancelled,Credit Card,Fish Curry,C151
O0044,R028,2023-04-01 12:00:00,26,28,297.75,Cancelled,UPI,Tandoori Chicken,C084
O0045,R037,2023-03-03 18:00:00,44,26,664.98,Cancelled,UPI,Chole Bhature,C123
O0046,R095,2023-03-20 10:00:00,25,34,206.96,Cancelled,Net Banking,Chicken Shawarma,C040
O0047,R085,2023-07-04 14:00:00,29,45,363.75,Cancelled,UPI,Butter Chicken,C130
O0048,R001,2023-05-05 08:00:00,28,43,273.73,Cancelled,Credit Card,Samosa Chaat,C046
O0049,R095,2023-02-24 10:00:00,38,33,797.74,Cancelled,Net Banking,Mutton Rogan Josh,C125
O0050,R069,2023-04-14 04:00:00,37,25,982.54,Cancelled,UPI,Paneer Tikka,C165
O0051,R066,2023-07-27 18:00:00,40,53,908.14,Cancelled,Net Banking,Veg Thali,C089
O0052,R055,2023-02-19 00:00:00,25,45,334.48,Cancelled,UPI,Tandoori Chicken,C035
O0053,R007,2023-06-05 22:00:00,35,21,694.57,Cancelled,Credit Card,Chicken Biryani,C012
O0054,R016,2023-01-24 10:00:00,45,38,921.36,Cancelled,UPI,Masala Dosa,C177
O0055,R050,2023-01-24 08:00:00,29,39,709.43,Cancelled,UPI,Chicken Wings,C044
O0056,R083,2023-06-13 04:00:00,27,36,202.25,Cancelled,UPI,Egg Fried Rice,C178
O0057,R035,2023-05-15 04:00:00,37,43,531.71,Cancelled,Credit Card,Margherita Pizza,C072
O0058,R016,2023-07-13 04:00:00,45,38,432.12,Cancelled,Cash,Fish Curry,C089
O0059,R095,2023-05-20 22:00:00,43,43,699.09,Cancelled,Cash,Pasta Alfredo,C087
O0060,R073,2023-07-09 18:00:00,32,35,202.46,Cancelled,Net Banking,Mutton Rogan Josh,C063
O0061,R046,2023-02-01 10:00:00,26,40,710.15,Cancelled,Cash,Hakka Noodles,C069
O0062,R030,2023-04-01 14:00:00,31,41,190.75,Cancelled,Cash,Veg Thali,C150
O0063,R087,2023-06-14 14:00:00,38,41,197.75,Cancelled,Cash,Dal Makhani,C106
O0064,R092,2023-03-20 08:00:00,25,41,344.11,Cancelled,Cash,Chicken Wings,C074
O0065,R091,2023-10-06 00:00:00,26,40,883.87,Cancelled,Credit Card,Garlic Naan,C166
O0066,R070,2023-02-07 20:00:00,44,42,802.74,Cancelled,Cash,Butter Chicken,C082
O0067,R085,2023-04-12 06:00:00,37,45,374.52,Cancelled,Net Banking,Garlic Naan,C160
O0068,R037,2023-02-18 02:00:00,29,35,158.22,Cancelled,Credit Card,Hakka Noodles,C005
O0069,R029,2023-05-03 16:00:00,42,28,372.06,Cancelled,Net Banking,Veg Thali,C187
O0070,R095,2023-10-05 02:00:00,34,44,943.17,Cancelled,Cash,Egg Fried Rice,C169
O0071,R031,2023-02-02 02:00:00,38,42,622.31,Completed,Cash,Chole Bhature,C122
O0072,R009,2023-02-17 06:00:00,37,36,218.03,Completed,Net Banking,Egg Fried Rice,C076
O0073,R067,2023-08-13 16:00:00,42,29,766.31,Completed,Credit Card,Egg Fried Rice,C039
O0074,R040,2023-01-20 08:00:00,26,41,684.58,Completed,Credit Card,Garlic Naan,C175
O0075,R087,2023-10-08 22:00:00,39,40,870.37,Completed,Credit Card,Paneer Tikka,C067
O0076,R042,2023-08-16 04:00:00,42,34,983.01,Completed,UPI,Veg Manchurian,C050
O0077,R030,2023-02-16 16:00:00,29,30,869.88,Completed,Cash,Butter Chicken,C005
O0078,R048,2023-07-20 04:00:00,42,27,726.77,Completed,UPI,Chicken Biryani,C126
O0079,R081,2023-07-10 16:00:00,29,23,895.77,Completed,Credit Card,Chicken Wings,C197
O0080,R062,2023-03-09 18:00:00,45,27,677.61,Completed,Credit Card,Veg Thali,C079
O0081,R037,2023-01-03 08:00:00,31,43,329.69,Completed,Credit Card,Margherita Pizza,C185
O0082,R075,2023-01-12 06:00:00,43,41,587.57,Completed,Cash,Fish Curry,C193
O0083,R022,2023-05-19 00:00:00,30,49,404.08,Completed,Net Banking,Chicken Shawarma,C122
O0084,R018,2023-07-10 12:00:00,27,34,360.75,Completed,Net Banking,Egg Fried Rice,C003
O0085,R002,2023-08-27 20:00:00,43,27,307.52,Completed,Cash,Chicken Shawarma,C026
O0086,R071,2023-09-15 18:00:00,40,29,207.26,Completed,Cash,Veg Manchurian,C095
O0087,R065,2023-07-25 08:00:00,34,36,392.48,Completed,Net Banking,Butter Chicken,C187
O0088,R042,2023-06-17 08:00:00,33,47,895.19,Completed,Credit Card,Chicken Shawarma,C064
O0089,R047,2023-09-01 18:00:00,33,32,582.26,Completed,UPI,Chicken Biryani,C156
O0090,R075,2023-08-24 14:00:00,31,38,600.4,Completed,Cash,Tandoori Chicken,C166
O0091,R082,2023-02-06 12:00:00,37,35,244.24,Completed,Cash,Fish Curry,C144
O0092,R004,2023-06-11 10:00:00,25,34,963.7,Completed,Net Banking,Chole Bhature,C062
O0093,R017,2023-07-10 22:00:00,45,29,252.43,Completed,Cash,Veg Thali,C100
O0094,R051,2023-04-29 12:00:00,26,27,970.4,Completed,Credit Card,Mutton Rogan Josh,C050
O0095,R020,2023-09-24 04:00:00,41,45,308.4,Completed,Credit Card,Veg Thali,C168
O0096,R023,2023-04-28 02:00:00,27,34,191.85,Completed,Credit Card,Tandoori Chicken,C200
O0097,R066,2023-02-03 06:00:00,25,27,949.74,Completed,Credit Card,Veg Thali,C099
O0098,R010,2023-08-23 00:00:00,45,43,176.38,Completed,Cash,Hakka Noodles,C025
O0099,R018,2023-01-02 18:00:00,34,37,381.15,Completed,UPI,Masala Dosa,C046
O0100,R098,2023-03-24 10:00:00,29,44,710.45,Completed,Credit Card,Veg Manchurian,C066
O0101,R027,2023-03-19 08:00:00,29,45,636.8,Completed,Cash,Paneer Tikka,C026
O0102,R100,2023-06-19 20:00:00,41,32,772.66,Completed,Cash,Veg Manchurian,C073
O0103,R064,2023-04-17 06:00:00,29,54,418.06,Completed,UPI,Veg Manchurian,C044
O0104,R073,2023-04-04 16:00:00,28,28,789.55,Completed,Cash,Pasta Alfredo,C144
O0105,R099,2023-03-18 16:00:00,35,40,197.0,Completed,UPI,Garlic Naan,C035
O0106,R090,2023-01-04 00:00:00,25,36,178.17,Completed,UPI,Veg Manchurian,C148
O0107,R028,2023-06-19 04:00:00,35,47,348.43,Completed,UPI,Chicken Shawarma,C189
O0108,R031,2023-05-02 02:00:00,29,34,853.23,Completed,Net Banking,Fish Curry,C117
O0109,R094,2023-06-23 16:00:00,35,50,245.25,Completed,Net Banking,Chole Bhature,C106
O0110,R017,2023-04-27 08:00:00,43,38,774.81,Completed,UPI,Tandoori Chicken,C099
O0111,R030,2023-02-01 06:00:00,27,43,951.12,Completed,Credit Card,Butter Chicken,C107
O0112,R098,2023-01-27 10:00:00,27,38,975.31,Completed,Cash,Veg Manchurian,C060
O0113,R050,2023-04-15 00:00:00,36,23,227.62,Completed,Net Banking,Hakka Noodles,C144
O0114,R046,2023-07-15 18:00:00,31,40,367.48,Completed,Cash,Butter Chicken,C021
O0115,R078,2023-05-25 02:00:00,33,41,198.97,Completed,Cash,Masala Dosa,C187
O0116,R076,2023-03-19 04:00:00,39,49,797.73,Completed,Cash,Chicken Shawarma,C024
O0117,R017,2023-09-10 04:00:00,35,31,509.83,Completed,Net Banking,Chicken Shawarma,C110
O0118,R081,2023-05-06 10:00:00,40,24,375.11,Completed,Cash,Samosa Chaat,C082
O0119,R064,2023-05-11 02:00:00,40,50,916.43,Completed,UPI,Fish Curry,C079
O0120,R014,2023-09-16 18:00:00,42,30,652.34,Completed,Credit Card,Hakka Noodles,C128
O0121,R079,2023-02-19 14:00:00,41,40,979.61,Completed,Net Banking,Tandoori Chicken,C107
O0122,R004,2023-03-21 00:00:00,27,36,728.77,Completed,UPI,Fish Curry,C193
O0123,R068,2023-04-09 06:00:00,27,23,244.11,Completed,Cash,Chicken Shawarma,C106
O0124,R077,2023-03-10 00:00:00,35,37,264.75,Completed,Credit Card,Hakka Noodles,C089
O0125,R046,2023-09-11 08:00:00,39,38,250.28,Completed,UPI,Masala Dosa,C104
O0126,R063,2023-09-22 22:00:00,37,37,457.54,Completed,UPI,Chole Bhature,C121
O0127,R059,2023-06-14 04:00:00,37,31,820.13,Completed,UPI,Egg Fried Rice,C102
O0128,R040,2023-08-14 06:00:00,42,39,929.99,Completed,Net Banking,Egg Fried Rice,C064
O0129,R002,2023-09-24 18:00:00,40,28,195.88,Completed,Cash,Hakka Noodles,C009
O0130,R029,2023-05-03 14:00:00,42,30,497.38,Completed,Credit Card,Veg Thali,C030
O0131,R072,2023-04-07 12:00:00,38,29,950.46,Completed,Net Banking,Chicken Wings,C073
O0132,R084,2023-05-12 04:00:00,41,43,829.27,Completed,Net Banking,Veg Thali,C083
O0133,R021,2023-07-29 00:00:00,27,50,387.84,Completed,UPI,Masala Dosa,C135
O0134,R085,2023-02-14 02:00:00,32,42,912.79,Completed,Net Banking,Paneer Tikka,C014
O0135,R064,2023-09-23 16:00:00,29,20,267.15,Completed,Credit Card,Chole Bhature,C081
O0136,R095,2023-02-10 18:00:00,45,30,435.14,Completed,UPI,Tandoori Chicken,C078
O0137,R062,2023-05-17 22:00:00,37,41,323.8,Completed,Net Banking,Butter Chicken,C084
O0138,R070,2023-05-02 04:00:00,41,48,510.55,Completed,Net Banking,Veg Thali,C126
O0139,R041,2023-06-20 18:00:00,35,37,603.82,Completed,Cash,Tandoori Chicken,C020
O0140,R091,2023-06-10 18:00:00,29,34,212.02,Completed,UPI,Garlic Naan,C158
O0141,R011,2023-03-20 00:00:00,27,36,299.58,Completed,Credit Card,Hakka Noodles,C148
O0142,R034,2023-08-12 22:00:00,29,50,675.71,Completed,Credit Card,Pasta Alfredo,C033
O0143,R018,2023-08-31 02:00:00,29,40,864.08,Completed,Cash,Pasta Alfredo,C009
O0144,R078,2023-05-08 14:00:00,26,28,225.47,Completed,Net Banking,Garlic Naan,C157
O0145,R052,2023-08-04 18:00:00,37,25,963.01,Completed,UPI,Dal Makhani,C181
O0146,R091,2023-05-03 10:00:00,45,40,575.69,Completed,UPI,Egg Fried Rice,C027
O0147,R025,2023-05-28 10:00:00,43,27,808.58,Completed,UPI,Veg Thali,C101
O0148,R041,2023-04-05 16:00:00,28,40,199.73,Completed,Net Banking,Chicken Biryani,C064
O0149,R038,2023-05-03 14:00:00,27,50,453.71,Completed,UPI,Veg Manchurian,C001
O0150,R050,2023-05-17 18:00:00,41,39,542.59,Completed,UPI,Butter Chicken,C076
O0151,R008,2023-09-19 20:00:00,33,29,630.01,Completed,Credit Card,Mutton Rogan Josh,C060
O0152,R027,2023-09-19 12:00:00,43,40,968.42,Completed,UPI,Samosa Chaat,C080
O0153,R005,2023-09-01 20:00:00,34,44,579.52,Completed,Credit Card,Butter Chicken,C026
O0154,R041,2023-04-07 14:00:00,36,29,926.56,Completed,Credit Card,Masala Dosa,C187
O0155,R093,2023-02-05 22:00:00,40,37,972.6,Completed,UPI,Paneer Butter Masala,C099
O0156,R096,2023-06-13 16:00:00,37,31,910.01,Completed,Credit Card,Egg Fried Rice,C108
O0157,R032,2023-04-10 10:00:00,43,30,448.79,Completed,Credit Card,Mutton Rogan Josh,C071
O0158,R044,2023-02-11 04:00:00,35,54,887.59,Completed,Credit Card,Dal Makhani,C017
O0159,R057,2023-06-02 04:00:00,44,26,416.16,Completed,UPI,Chicken Biryani,C200
O0160,R086,2023-02-22 14:00:00,39,37,760.82,Completed,UPI,Mutton Rogan Josh,C179
O0161,R093,2023-04-28 10:00:00,41,29,742.54,Completed,UPI,Egg Fried Rice,C004
O0162,R085,2023-03-25 02:00:00,36,38,661.91,Completed,UPI,Chicken Biryani,C058
O0163,R085,2023-09-11 16:00:00,32,34,915.08,Completed,Cash,Garlic Naan,C074
O0164,R029,2023-03-05 18:00:00,41,41,825.36,Completed,Net Banking,Egg Fried Rice,C143
O0165,R034,2023-04-26 08:00:00,26,41,841.45,Completed,Net Banking,Egg Fried Rice,C006
O0166,R045,2023-06-20 10:00:00,37,29,510.41,Completed,Credit Card,Tandoori Chicken,C019
O0167,R086,2023-03-20 00:00:00,36,22,902.97,Completed,Cash,Butter Chicken,C183
O0168,R021,2023-02-07 12:00:00,35,42,769.79,Completed,Credit Card,Fish Curry,C131
O0169,R040,2023-08-21 10:00:00,41,50,418.26,Completed,Cash,Egg Fried Rice,C152
O0170,R003,2023-05-12 00:00:00,25,40,508.81,Completed,Net Banking,Dal Makhani,C069
O0171,R046,2023-05-13 16:00:00,32,48,353.16,Completed,Credit Card,Garlic Naan,C040
O0172,R074,2023-06-08 14:00:00,43,49,873.24,Completed,Cash,Mutton Rogan Josh,C058
O0173,R070,2023-06-25 06:00:00,27,34,467.35,Completed,Credit Card,Veg Manchurian,C053
O0174,R008,2023-06-07 14:00:00,40,48,468.9,Completed,Credit Card,Chicken Biryani,C061
O0175,R094,2023-07-13 02:00:00,28,45,479.64,Completed,Credit Card,Margherita Pizza,C074
O0176,R081,2023-07-30 22:00:00,36,34,625.42,Completed,Cash,Margherita Pizza,C200
O0177,R020,2023-03-17 06:00:00,38,40,389.83,Completed,Cash,Pasta Alfredo,C017
O0178,R046,2023-08-19 14:00:00,44,40,846.67,Completed,Credit Card,Chicken Wings,C022
O0179,R003,2023-05-17 06:00:00,32,35,719.02,Completed,UPI,Chicken Wings,C057
O0180,R063,2023-06-21 10:00:00,42,21,823.23,Completed,Credit Card,Mutton Rogan Josh,C119
O0181,R081,2023-04-17 04:00:00,25,47,208.11,Completed,Cash,Fish Curry,C018
O0182,R008,2023-06-16 02:00:00,41,38,470.17,Completed,Cash,Garlic Naan,C006
O0183,R004,2023-03-21 08:00:00,41,37,326.37,Completed,Cash,Veg Thali,C126
O0184,R031,2023-04-18 08:00:00,28,43,314.34,Completed,UPI,Garlic Naan,C194
O0185,R006,2023-06-26 18:00:00,26,36,436.48,Completed,Net Banking,Chicken Shawarma,C034
O0186,R002,2023-08-22 10:00:00,43,43,874.76,Completed,Net Banking,Pasta Alfredo,C194
O0187,R029,2023-01-01 12:00:00,36,50,471.06,Completed,UPI,Pasta Alfredo,C091
O0188,R084,2023-02-01 08:00:00,26,40,203.59,Completed,UPI,Butter Chicken,C109
O0189,R042,2023-06-11 00:00:00,36,47,870.58,Completed,Credit Card,Margherita Pizza,C098
O0190,R009,2023-04-19 06:00:00,30,34,818.44,Completed,Credit Card,Paneer Butter Masala,C167
O0191,R008,2023-05-15 12:00:00,35,40,616.28,Completed,Net Banking,Paneer Tikka,C086
O0192,R045,2023-03-19 14:00:00,33,42,189.48,Completed,UPI,Paneer Butter Masala,C199
O0193,R085,2023-10-08 02:00:00,40,44,279.9,Completed,Net Banking,Veg Thali,C119
O0194,R055,2023-05-28 04:00:00,40,43,454.02,Completed,Net Banking,Samosa Chaat,C035
O0195,R018,2023-01-17 14:00:00,38,34,502.96,Completed,UPI,Chicken Shawarma,C158
O0196,R028,2023-07-16 08:00:00,25,38,405.04,Completed,Credit Card,Egg Fried Rice,C165
O0197,R058,2023-09-21 06:00:00,45,34,802.35,Completed,Credit Card,Chicken Biryani,C156
O0198,R056,2023-01-14 18:00:00,32,33,972.3,Completed,Credit Card,Chole Bhature,C002
O0199,R019,2023-05-19 18:00:00,45,35,513.44,Completed,Net Banking,Paneer Tikka,C196
O0200,R046,2023-02-01 20:00:00,45,44,295.29,Completed,UPI,Veg Manchurian,C051
O0201,R040,2023-03-31 22:00:00,40,43,533.86,Completed,UPI,Masala Dosa,C112
O0202,R023,2023-03-10 08:00:00,36,32,267.25,Completed,Cash,Samosa Chaat,C056
O0203,R084,2023-09-05 14:00:00,30,28,544.37,Completed,Credit Card,Chole Bhature,C196
O0204,R043,2023-04-22 12:00:00,26,22,497.84,Completed,Credit Card,Chicken Shawarma,C168
O0205,R094,2023-03-02 22:00:00,40,25,984.9,Completed,Cash,Dal Makhani,C019
O0206,R096,2023-02-08 14:00:00,41,47,449.51,Completed,UPI,Egg Fried Rice,C072
O0207,R053,2023-03-03 16:00:00,30,34,253.65,Completed,Cash,Egg Fried Rice,C134
O0208,R049,2023-09-30 02:00:00,37,32,941.29,Completed,Cash,Fish Curry,C030
O0209,R002,2023-08-27 10:00:00,34,25,748.07,Completed,Net Banking,Tandoori Chicken,C155
O0210,R053,2023-05-05 06:00:00,43,38,741.76,Completed,Credit Card,Veg Thali,C078
O0211,R034,2023-01-10 14:00:00,40,31,426.65,Completed,Net Banking,Pasta Alfredo,C120
O0212,R069,2023-03-21 18:00:00,31,36,322.96,Completed,Credit Card,Paneer Tikka,C174
O0213,R069,2023-01-15 20:00:00,25,34,755.54,Completed,Cash,Fish Curry,C099
O0214,R095,2023-01-03 18:00:00,39,40,396.09,Completed,Cash,Veg Manchurian,C181
O0215,R088,2023-05-11 14:00:00,44,34,672.9,Completed,Net Banking,Veg Thali,C050
O0216,R091,2023-07-02 10:00:00,44,48,229.75,Completed,Cash,Tandoori Chicken,C098
O0217,R060,2023-01-02 12:00:00,30,54,522.23,Completed,Net Banking,Dal Makhani,C064
O0218,R098,2023-02-14 06:00:00,44,48,690.33,Completed,Cash,Chicken Shawarma,C027
O0219,R006,2023-02-09 18:00:00,39,39,617.98,Completed,Credit Card,Fish Curry,C105
O0220,R073,2023-10-08 08:00:00,35,47,692.92,Completed,Credit Card,Fish Curry,C014
O0221,R016,2023-07-26 08:00:00,43,33,345.9,Completed,Net Banking,Garlic Naan,C017
O0222,R053,2023-07-26 18:00:00,35,44,536.72,Completed,UPI,Dal Makhani,C082
O0223,R050,2023-03-10 00:00:00,38,37,205.75,Completed,Credit Card,Chole Bhature,C086
O0224,R022,2023-01-28 20:00:00,43,33,214.64,Completed,Credit Card,Hakka Noodles,C079
O0225,R001,2023-09-10 22:00:00,45,30,326.0,Completed,UPI,Margherita Pizza,C175
O0226,R065,2023-06-09 02:00:00,29,43,700.53,Completed,Cash,Samosa Chaat,C043
O0227,R018,2023-03-09 10:00:00,41,42,825.82,Completed,UPI,Chicken Shawarma,C033
O0228,R080,2023-01-01 12:00:00,38,42,658.58,Completed,Credit Card,Chicken Wings,C159
O0229,R085,2023-06-27 12:00:00,37,36,452.68,Completed,UPI,Paneer Butter Masala,C008
O0230,R066,2023-08-01 02:00:00,32,40,156.22,Completed,UPI,Butter Chicken,C062
O0231,R094,2023-05-22 16:00:00,36,40,740.57,Completed,Cash,Hakka Noodles,C161
O0232,R090,2023-01-23 18:00:00,37,46,872.73,Completed,Net Banking,Pasta Alfredo,C179
O0233,R019,2023-07-03 06:00:00,34,41,158.2,Completed,Cash,Samosa Chaat,C166
O0234,R011,2023-03-02 10:00:00,32,34,674.68,Completed,Net Banking,Paneer Butter Masala,C169
O0235,R043,2023-03-21 22:00:00,31,49,442.87,Completed,Net Banking,Paneer Butter Masala,C024
O0236,R031,2023-03-19 10:00:00,33,48,499.12,Completed,Net Banking,Samosa Chaat,C076
O0237,R023,2023-05-22 18:00:00,32,51,773.27,Completed,UPI,Veg Manchurian,C010
O0238,R032,2023-05-11 08:00:00,42,39,518.54,Completed,UPI,Paneer Butter Masala,C059
O0239,R003,2023-06-12 00:00:00,43,28,617.13,Completed,Credit Card,Chicken Biryani,C045
O0240,R022,2023-10-03 14:00:00,36,38,739.2,Completed,UPI,Veg Manchurian,C112
O0241,R096,2023-01-01 02:00:00,39,29,711.03,Completed,Cash,Pasta Alfredo,C163
O0242,R088,2023-05-29 18:00:00,32,48,554.41,Completed,UPI,Butter Chicken,C147
O0243,R072,2023-03-13 16:00:00,44,44,606.23,Completed,Cash,Fish Curry,C107
O0244,R022,2023-05-11 02:00:00,35,31,698.13,Completed,UPI,Paneer Tikka,C176
O0245,R092,2023-09-19 04:00:00,44,31,161.43,Completed,Credit Card,Paneer Tikka,C086
O0246,R011,2023-01-15 00:00:00,45,34,169.7,Completed,Net Banking,Margherita Pizza,C165
O0247,R055,2023-07-30 04:00:00,29,49,545.68,Completed,Net Banking,Butter Chicken,C031
O0248,R077,2023-04-02 22:00:00,35,32,751.25,Completed,Cash,Tandoori Chicken,C122
O0249,R014,2023-01-10 16:00:00,32,33,958.34,Completed,UPI,Mutton Rogan Josh,C153
O0250,R080,2023-07-18 22:00:00,29,29,597.45,Completed,UPI,Paneer Butter Masala,C020
O0251,R081,2023-04-29 10:00:00,33,35,722.93,Completed,Cash,Chole Bhature,C170
O0252,R059,2023-08-29 04:00:00,42,36,932.8,Completed,Credit Card,Chicken Biryani,C097
O0253,R091,2023-05-06 10:00:00,30,41,234.57,Completed,UPI,Margherita Pizza,C165
O0254,R020,2023-04-26 02:00:00,42,47,258.32,Completed,Credit Card,Garlic Naan,C121
O0255,R079,2023-08-20 02:00:00,44,39,555.14,Completed,Cash,Fish Curry,C190
O0256,R078,2023-06-04 22:00:00,28,47,632.12,Completed,Credit Card,Margherita Pizza,C155
O0257,R006,2023-08-07 16:00:00,39,37,408.3,Completed,UPI,Tandoori Chicken,C013
O0258,R033,2023-02-15 20:00:00,40,47,478.34,Completed,Credit Card,Mutton Rogan Josh,C028
O0259,R044,2023-07-23 08:00:00,31,34,889.14,Completed,Credit Card,Chole Bhature,C044
O0260,R095,2023-06-26 10:00:00,30,51,601.6,Completed,Credit Card,Paneer Tikka,C122
O0261,R094,2023-02-01 10:00:00,44,40,637.16,Completed,Credit Card,Tandoori Chicken,C179
O0262,R049,2023-03-27 22:00:00,36,49,939.03,Completed,Credit Card,Pasta Alfredo,C106
O0263,R004,2023-02-05 04:00:00,44,34,655.85,Completed,UPI,Veg Manchurian,C198
O0264,R081,2023-09-01 22:00:00,32,46,542.74,Completed,Net Banking,Paneer Butter Masala,C194
O0265,R005,2023-02-05 06:00:00,27,35,301.5,Completed,Cash,Dal Makhani,C068
O0266,R064,2023-04-04 02:00:00,42,39,312.41,Completed,Credit Card,Garlic Naan,C056
O0267,R012,2023-01-09 04:00:00,40,45,579.52,Completed,Net Banking,Fish Curry,C180
O0268,R046,2023-08-25 06:00:00,31,31,188.52,Completed,Credit Card,Dal Makhani,C107
O0269,R038,2023-02-18 10:00:00,34,36,582.7,Completed,UPI,Chicken Shawarma,C080
O0270,R086,2023-07-31 20:00:00,37,44,898.68,Completed,Credit Card,Chicken Shawarma,C044
O0271,R020,2023-09-21 12:00:00,33,29,480.16,Completed,UPI,Hakka Noodles,C022
O0272,R059,2023-08-13 20:00:00,41,30,862.73,Completed,UPI,Masala Dosa,C026
O0273,R031,2023-02-16 08:00:00,31,24,788.8,Completed,Credit Card,Butter Chicken,C117
O0274,R065,2023-05-10 08:00:00,36,37,841.48,Completed,Net Banking,Paneer Butter Masala,C163
O0275,R046,2023-03-12 16:00:00,38,53,437.31,Completed,Cash,Hakka Noodles,C005
O0276,R021,2023-07-15 14:00:00,35,46,668.29,Completed,Cash,Mutton Rogan Josh,C075
O0277,R095,2023-08-14 06:00:00,25,41,704.92,Completed,UPI,Masala Dosa,C180
O0278,R097,2023-04-20 00:00:00,26,34,234.47,Completed,Net Banking,Paneer Tikka,C042
O0279,R052,2023-03-10 18:00:00,31,35,294.64,Completed,Cash,Margherita Pizza,C164
O0280,R044,2023-05-24 18:00:00,31,30,721.1,Completed,Credit Card,Egg Fried Rice,C033
